# hostname=COG cpu_model="AMD Ryzen 9 9950X3D 16-Core Processor" ram_gb=46.2 date=2026-06-24T11:15:51Z
source,scenario,n_chunks,chunk_size_kb,wall_time_ms,peak_rss_mb,companion_bytes,trial,hostname,disk_type
synthetic,verify_dataset,13652,256.0,430.189,13659.7,0,5,COG,ssd
synthetic,verify_dataset,13652,256.0,430.320,13659.7,0,6,COG,ssd
synthetic,verify_dataset,13652,256.0,430.479,13659.7,0,7,COG,ssd
synthetic,verify_dataset,13652,256.0,429.706,13659.7,0,8,COG,ssd
synthetic,verify_dataset,13652,256.0,429.717,13659.7,0,9,COG,ssd
synthetic,verify_dataset,13652,256.0,430.998,13659.7,0,10,COG,ssd
synthetic,verify_dataset,13652,256.0,430.114,13659.7,0,11,COG,ssd
synthetic,verify_dataset,13652,256.0,431.718,13659.7,0,12,COG,ssd
synthetic,verify_dataset,13652,256.0,431.900,13659.7,0,13,COG,ssd
synthetic,verify_dataset,13652,256.0,432.399,13659.7,0,14,COG,ssd
synthetic,verify_dataset,13652,256.0,432.312,13659.7,0,15,COG,ssd
synthetic,verify_dataset,13652,256.0,430.414,13659.7,0,16,COG,ssd
synthetic,verify_dataset,13652,256.0,429.922,13659.7,0,17,COG,ssd
synthetic,verify_dataset,13652,256.0,430.108,13659.7,0,18,COG,ssd
synthetic,verify_dataset,13652,256.0,430.282,13659.7,0,19,COG,ssd
synthetic,verify_dataset,13652,256.0,430.855,13659.7,0,20,COG,ssd
synthetic,verify_dataset,13652,256.0,431.647,13659.7,0,21,COG,ssd
synthetic,verify_dataset,13652,256.0,430.850,13659.7,0,22,COG,ssd
synthetic,verify_dataset,13652,256.0,429.599,13659.7,0,23,COG,ssd
synthetic,verify_dataset,13652,256.0,428.335,13659.7,0,24,COG,ssd
synthetic,verify_dataset,13652,256.0,430.519,13659.7,0,25,COG,ssd
synthetic,verify_dataset,13652,256.0,431.581,13659.7,0,26,COG,ssd
synthetic,verify_dataset,13652,256.0,431.582,13659.7,0,27,COG,ssd
synthetic,verify_dataset,13652,256.0,428.265,13659.7,0,28,COG,ssd
synthetic,verify_dataset,13652,256.0,430.512,13659.7,0,29,COG,ssd
synthetic,verify_dataset,13652,256.0,427.422,13659.7,0,30,COG,ssd
synthetic,verify_chunk,13652,256.0,0.024,13659.7,0,1,COG,ssd
